"ASV","s.Chronic gastritis (CG)_Elderly","s.Chronic gastritis (CG)_Middle Age","s.Chronic gastritis (CG)_Young Adult","s.Gastric cancer (GC)_Elderly","s.Gastric cancer (GC)_Middle Age","s.Gastric cancer (GC)_Young Adult","s.Healthy control (HC)_Elderly","s.Healthy control (HC)_Middle Age","s.Healthy control (HC)_Young Adult","s.Intestinal metaplasia (IM）_Elderly","s.Intestinal metaplasia (IM）_Middle Age","s.Intraepithelial neoplasia (IN)_Elderly","s.Intraepithelial neoplasia (IN)_Middle Age","index","stat","p.value","Domain","Phylum","Class","Order","Family","Genus","Species"
"360e6a376b914d8e9ef28f1139df63aa",0,0,0,0,0,0,1,1,1,0,0,0,0,343,0.813029488488912,0.005,"d__Bacteria","p__Cyanobacteria","c__Cyanobacteriia","o__Phormidesmiales","f__Nodosilineaceae","g__Nodosilinea_PCC-7104",NA
"8c904f3ee52a5654eed0b1e82ab63975",0,0,0,0,0,0,1,1,1,0,0,0,0,343,0.901975233603395,0.005,"d__Bacteria","p__Cyanobacteria","c__Cyanobacteriia","o__Oxyphotobacteria_Incertae_Sedis","f__Unknown_Family","g__Unknown_Family","s__Leptolyngbya_sp."
"1c1de08803d190d4ad54c1a8aa7bbcb6",1,1,1,0,0,0,0,1,1,1,1,0,0,4291,0.793506779123511,0.005,"d__Bacteria","p__Gemmatimonadota","c__Gemmatimonadetes","o__Gemmatimonadales","f__Gemmatimonadaceae","g__Gemmatimonas","s__uncultured_Gemmatimonas"
"8513f8b77411fdf39fc1cee950649fec",1,1,1,0,1,1,1,1,1,0,1,1,1,8139,0.753800302130946,0.01,"d__Bacteria","p__Spirochaetota","c__Spirochaetia","o__Spirochaetales","f__Spirochaetaceae","g__Treponema","s__Treponema_sp."
"50306d4a530cfb1bf69d4c5ff3ac8978",0,0,0,0,0,0,1,1,1,0,0,0,0,343,0.872195167600933,0.005,"d__Bacteria","p__Verrucomicrobiota","c__Omnitrophia","o__Omnitrophales","f__Omnitrophaceae","g__Candidatus_Omnitrophus","s__uncultured_bacterium"
"7035014bbc634adc32481889cbb5136b",1,1,1,0,0,0,0,0,0,1,0,0,0,384,0.826919734616797,0.005,"d__Bacteria","p__Acidobacteriota","c__Vicinamibacteria","o__Vicinamibacterales","f__uncultured","g__uncultured","s__uncultured_Acidobacteriales"
"3cfda42b050947548389da31a3a86238",1,0,1,0,0,0,1,1,1,0,0,0,0,1343,0.755971953546558,0.005,"d__Bacteria","p__Acidobacteriota","c__Vicinamibacteria","o__Vicinamibacterales","f__Vicinamibacteraceae","g__Vicinamibacteraceae",NA
"0888c1bbcdd2a76ab1d89ff449bf5c67",1,1,1,0,0,0,0,0,1,1,1,0,0,2490,0.707475383613928,0.005,"d__Bacteria","p__Verrucomicrobiota","c__Verrucomicrobiae","o__Pedosphaerales","f__Pedosphaeraceae","g__Ellin516","s__metagenome"
"80c65f8391d950d49650f838fd10d2b1",0,0,0,0,0,0,1,1,1,0,0,0,0,343,0.882449239748734,0.005,"d__Bacteria","p__Planctomycetota","c__OM190","o__OM190","f__OM190","g__OM190","s__uncultured_bacterium"
"9e06b151f84fd221034778a8030d7b0f",1,1,1,0,0,0,0,0,0,1,0,0,0,384,0.785041247649195,0.005,"d__Bacteria","p__Actinobacteriota","c__Thermoleophilia","o__Gaiellales","f__uncultured","g__uncultured","s__uncultured_bacterium"
"2bab8c73ff478a837c151ca50647c3d0",1,1,1,1,1,1,1,1,1,0,0,1,1,8105,0.897526236604027,0.005,"d__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Corynebacteriales","f__Corynebacteriaceae","g__Corynebacterium",NA
"de09b50673161f2660886d7aeb48048c",1,1,1,0,0,0,1,1,1,1,1,1,1,7933,0.82026341125901,0.005,"d__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Corynebacteriales","f__Nocardiaceae","g__Rhodococcus",NA
"ceefb5d0ebd9c1d33017e62e16588ae2",0,0,0,0,0,0,0,0,0,0,0,1,1,91,0.808551408882177,0.005,"d__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Pseudonocardiales","f__Pseudonocardiaceae","g__Saccharopolyspora","s__Saccharopolyspora_rectivirgula"
"316b7e4be09d5338d62b574002793030",0,0,0,1,1,1,1,1,1,0,0,0,0,3886,0.769085496028851,0.005,"d__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Micrococcales","f__Intrasporangiaceae",NA,NA
